,cpu_requested,mem_requested,time
0,7590.228329,6112.13046512,3730973869
1,7642.6040863,6096.45079032,4976539883
2,7614.1250993,5934.76305972,5411045699
3,7579.928152,5875.24733832,9385836201
4,7508.130312,5831.45075712,12320805756
5,7562.8109971,5964.82809662,12814545628
6,7552.2901671,5934.85085002,12958111256
7,7550.9768481,5933.29190356,13161999697
8,7556.2801672,5950.05305922,13467826575
9,7544.7139941,5920.73560562,13688157201
10,7580.5209908,6005.31026202,14818331806
11,7495.0489135,5935.83115722,15601425775
12,7615.8894805,6004.19524622,16141689308
13,7592.4862145,5976.60937022,17143246451
14,7597.9994662,6006.50472122,18047306192
15,7800.1597212,6141.36240562,22228537605
16,7661.5985155,6221.12249742,23307823166
17,7645.5894138,6162.49327532,25964093625
18,7895.7240006,6422.96401692,29024772058
19,7699.1270262,6284.91997891,31957724882
20,7704.8875556,6539.32495902,36013723661
21,7659.1587406,6329.76749022,37844615290
22,8074.8940696,6431.18355992,38468556703
23,8074.3752296,6430.87928792,38479909865
24,8057.698206,6449.10141902,39668019474
25,8057.8784374,6447.95779462,39883907298
26,8029.0007977,6421.71518102,40355591678
27,8114.824894,6480.72414002,41456727696
28,8103.454867,6475.74895022,41793432362
29,8003.5079906,6436.82327912,46720475823
30,7684.5630159,6192.46209922,47413730411
31,7669.8202079,6347.31300652,48848052273
32,7656.196492,6337.03187052,49749708186
33,7647.991031,6337.02534792,49849267544
34,7667.3406487,6361.63602182,53767484448
35,7574.038891,6307.44599442,55328194521
36,7517.0167747,6252.09142752,57176741157
37,7530.4458094,6265.36909098,57600357659
38,7509.4248854,6246.05257812,57672057442
39,7598.6963697,6358.38841372,58923037886
40,7564.5908617,6314.75199812,59089598732
41,7291.600013,6077.98030207,62409506234
42,7530.407415,6226.42234372,63013488121
43,7537.021235,6353.13393252,64050462313
44,7577.7373197,6351.04788312,64262699343
45,7584.0215387,6335.75275476,64621662831
46,7482.9727767,6410.32078472,66994195134
47,7457.8059624,6349.70912572,67550099812
48,7452.5198287,6346.04990272,68267457104
49,7579.3228534,6386.65759712,70758927539
50,7617.3402496,6406.57698592,71089187880
51,7657.0642676,6553.43036562,71297664896
52,7568.546485,6400.33824546,72464112971
53,7630.1972745,6673.20260382,74520357034
54,7523.2981819,6471.05522982,75514359359
55,7609.8153152,6427.83465382,77430464271
56,7580.8295122,6459.49613542,78827868456
57,7604.2564339,6468.47174782,79204236581
58,7573.9298172,6443.49648122,79492079209
59,7555.4839505,6439.64402942,79648137269
60,7595.6181688,6460.48021182,80399781027
61,7609.1372685,6463.96595241,80560434116
62,7573.7707419,6499.31251742,81520510984
63,7495.1345643,6434.69350182,84511618983
64,7373.6760076,6567.07328652,87511420553
65,7330.0426546,6550.61240902,87686144871
66,7482.0484236,6556.36737542,88648624269
67,7527.8878587,6601.78658082,89927064637
68,7350.5803564,6580.35360087,91522966954
69,7415.688652,6683.29108792,92511534806
70,7386.9100056,6471.17348472,94693287584
71,7414.8338566,6489.32585672,94840094144
72,7548.9560241,6437.79335772,96478162967
73,7486.940826,6576.89853732,102020381128
74,6840.3035742,5127.65961052,103518031662
75,6797.3813933,5072.56176612,105212219608
76,6800.0285005,5069.90493152,105691724058
77,7312.2511318,5251.30971842,107565231898
78,7378.1991167,5283.72827741,107615914869
79,7046.8590834,5223.39970802,109025468219
80,7013.1791864,5156.27066682,109308200030
81,6923.6676451,5132.32051222,111160265240
82,6931.5407207,5131.49180142,111573447022
83,6919.8273471,5126.09550132,111680610759
84,6910.9485674,5118.03082752,111736932264
85,6944.0556054,4939.89447982,113849185065
86,6918.7883822,4923.01846882,113949633932
87,7115.7980856,5466.59327681,114765991485
88,6959.7743741,6005.20375542,116065722504
89,7118.8023734,6114.55467742,116543296496
90,7129.0914349,6138.01306902,118411592939
91,6921.5684179,6121.07760902,119155124672
92,7061.1362411,6194.87588036,123032719472
93,7245.3283521,6266.77419172,124346611060
94,7109.100924,6172.30655372,126019232433
95,7210.5725296,6160.69298472,127235107725
96,7182.0366506,6149.68233272,127255081101
97,7196.3610292,6321.51653232,130855789078
98,7090.0722569,6329.09768292,131822244075
99,6981.5839026,5128.58801882,132813780507
100,6912.5653063,5095.66482542,133359389519
101,7562.1829676,5471.06515862,134555073586
102,6978.2981781,5143.33606002,137772109652
103,7025.5699161,5164.27578572,138967348756
104,7392.2165368,6199.40984412,140173047933
105,7141.949391,5848.34900142,143891048007
106,6926.824318,5763.43386522,144918651586
107,6841.562087,5704.05049622,145007413350
108,6815.970933,5693.34571982,145151217502
109,6714.8246218,5516.41875422,147405253335
110,6709.3246218,5513.66589282,147408853172
111,6745.9884845,5532.98483722,147947510502
112,7099.6602703,6043.00959482,149444976021
113,7042.9629223,6036.07944822,152024637489
114,7620.3506147,6655.80121822,154228363521
115,7547.9217197,6588.32241682,154426074507
116,7162.0660357,6247.21938462,155524060890
117,7055.5981607,6118.12696216,156926274548
118,7122.4069005,6155.18346576,157546093722
119,6992.3924696,6125.39950212,158407008545
120,7048.5710893,6114.94735372,158733479426
121,7018.1590951,6044.75373212,159808412977
122,7040.2942188,6213.13833012,161993925785
123,7204.1580198,6264.33808472,162360832349
124,7218.1022231,6299.34317072,162851039995
125,7149.1043344,6202.35153022,164248800400
126,7085.0870824,6161.74423882,164621501529
127,7071.6028541,6157.06097582,164691105049
128,6873.8151044,6065.70998082,164994830462
129,6749.2052968,5995.62932053,165913224797
130,6867.8859339,6131.01051482,167958800868
131,7007.4694479,6172.62345902,168235429462
132,6736.2687299,5973.10329002,169156374242
133,6733.7941386,5966.82716502,169406866765
134,7209.3341464,6381.99282342,170265385213
135,7323.6818128,6527.25561802,172104598490
136,7156.9333218,6402.55164142,172671887120
137,7316.0138712,6480.66843432,176316185127
138,7460.8865179,6351.47007626,177860086270
139,7512.9140357,6576.04896242,178930755671
140,7511.5474257,6564.72868602,179047182331
141,7505.8256777,6558.72479062,179081720584
142,7517.5670437,6515.89893042,179835851007
143,7354.6065167,6421.52046202,181090997983
144,7463.7607629,6596.61623462,184333408406
145,7416.1458422,6628.37281062,184717461467
146,6898.8954494,6186.78822962,188484085921
147,6902.2012512,6135.29319842,189694753689
148,6728.8386647,5174.45509258,193166586372
149,6783.2498814,5813.29818038,194737459316
150,6816.2355644,5859.38670584,194822726660
151,6669.8877547,5691.88314698,195880267695
152,6854.9757578,5094.96085298,198607437867
153,7145.4365817,5856.50005698,202624048449
154,7107.184118,5759.38511898,203398941957
155,7081.6561163,5745.08369478,203667827917
156,7127.3473347,5810.92274458,205169837705
157,7232.2411557,5693.47421661,208347389193
158,7360.5726037,5869.77617562,208638191090
159,7481.9750607,6052.38855642,209423128329
160,7524.4262247,6118.17271762,210197475459
161,7401.9823064,6068.56750192,210694610855
162,7401.0818092,6103.47255092,211716441163
163,7398.3203857,5991.09252182,214722119660
164,7361.1119913,6023.32623142,216289841258
165,7386.418368,5995.30475642,216570667552
166,7310.4543266,5914.49728982,217483414259
167,7462.8558256,6060.31501442,218054596503
168,7360.8042203,6153.83443573,220934053141
169,7359.8409413,6153.39784933,220968261242
170,7708.6708073,6294.91563322,221416435865
171,7695.5052056,6285.86295882,221718963658
172,7702.7613073,6290.66416182,221956935151
173,7479.9795394,6220.31600262,222248024467
174,7373.5004804,6130.36237062,222465822982
175,7239.6110018,6045.04376602,223816752301
176,7391.2350683,6127.50683232,225697324151
177,7393.6060173,6130.81896012,225787019697
178,7249.0416306,6066.37512362,228234303834
179,7244.9245976,6020.83722262,228890906224
180,7135.9944846,5885.34742562,231008773653
181,7089.7027236,5859.06123302,231343249431
182,7095.1940546,5867.12763602,231435603879
183,7100.2566521,5868.18157562,233250665976
184,7110.1955631,5876.47404662,233517364692
185,7156.2201494,5884.77612802,234625164255
186,7145.8080833,5856.72653262,235187183999
187,7145.7127976,5859.85096402,235601931778
188,7166.2710136,5869.86142802,236639786014
189,7086.743346,5869.24297362,237612121688
190,7202.6115126,5985.55581902,238329538255
191,7196.2019026,5924.89634402,238744597193
192,7261.9063026,5969.545836,239418454447
193,7683.5225069,6752.70808302,243466748270
194,7557.1945917,6723.58793592,245641398099
195,7443.8084609,6314.61068552,247002957154
196,7505.38016,5951.13850032,247790430864
197,7496.4953477,5933.90037272,247831742086
198,7444.8484666,5814.87251892,248061557628
199,7455.2438126,5802.51900892,248122586091
