,cpu_available,cpu_requested,mem_available,mem_requested,time
0,6601.75,7590.228329,5861.25183,6112.13046512,3730973869
1,6601.25,7642.6040863,5861.00253,6096.45079032,4976539883
2,6602.25,7614.1250993,5861.75133,5934.76305972,5411045699
3,6602.75,7579.928152,5861.50193,5875.24733832,9385836201
4,6604.25,7508.130312,5863.99743,5831.45075712,12320805756
5,6603.25,7562.8109971,5863.49813,5964.82809662,12814545628
6,6602.75,7552.2901671,5862.99863,5934.85085002,12958111256
7,6603.25,7550.9768481,5863.49813,5933.29190356,13161999697
8,6604.75,7556.2801672,5864.99593,5950.05305922,13467826575
9,6605.75,7544.7139941,5865.74473,5920.73560562,13688157201
10,6604.75,7580.5209908,5864.99593,6005.31026202,14818331806
11,6604.75,7495.0489135,5865.24613,5935.83115722,15601425775
12,6604.25,7615.8894805,5864.74663,6004.19524622,16141689308
13,6604.25,7592.4862145,5864.49713,5976.60937022,17143246451
14,6605.25,7597.9994662,5865.49543,6006.50472122,18047306192
15,6604.25,7800.1597212,5863.99743,6141.36240562,22228537605
16,6603.25,7661.5985155,5862.99843,6221.12249742,23307823166
17,6602.75,7645.5894138,5862.49993,6162.49327532,25964093625
18,6603.75,7895.7240006,5863.87333,6422.96401692,29024772058
19,6604.25,7699.1270262,5863.99743,6284.91997891,31957724882
20,6604.75,7704.8875556,5864.49593,6539.32495902,36013723661
21,6606.75,7659.1587406,5866.24373,6329.76749022,37844615290
22,6605.25,8074.8940696,5864.74593,6431.18355992,38468556703
23,6605.25,8074.3752296,5864.74593,6430.87928792,38479909865
24,6603.25,8057.698206,5863.49853,6449.10141902,39668019474
25,6603.75,8057.8784374,5864.24823,6447.95779462,39883907298
26,6603.75,8029.0007977,5863.99803,6421.71518102,40355591678
27,6603.75,8114.824894,5864.12493,6480.72414002,41456727696
28,6604.75,8103.454867,5864.74783,6475.74895022,41793432362
29,6603.25,8003.5079906,5862.49773,6436.82327912,46720475823
