,cpu_available,cpu_requested,cpu_usage,mem_available,mem_requested,mem_usage,time
0,6601.75,7590.228329,2691.51334589,5861.25183,6112.13046512,2845.31295331,3730973869
1,6601.25,7642.6040863,2257.91656998,5861.00253,6096.45079032,2763.01252105,4976539883
2,6602.25,7614.1250993,1985.03639339,5861.75133,5934.76305972,2660.8212413,5411045699
3,6602.75,7579.928152,2084.03445414,5861.50193,5875.24733832,2655.5442501,9385836201
4,6604.25,7508.130312,2151.42585939,5863.99743,5831.45075712,2684.25827034,12320805756
5,6603.25,7562.8109971,2210.53269968,5863.49813,5964.82809662,2762.32493692,12814545628
6,6602.75,7552.2901671,2155.4100116,5862.99863,5934.85085002,2747.81154664,12958111256
7,6603.25,7550.9768481,2167.38841433,5863.49813,5933.29190356,2750.6380763,13161999697
8,6604.75,7556.2801672,2120.84054993,5864.99593,5950.05305922,2731.58141453,13467826575
9,6605.75,7544.7139941,2085.62804425,5865.74473,5920.73560562,2726.2030675,13688157201
10,6604.75,7580.5209908,2058.88406664,5864.99593,6005.31026202,2771.92065825,14818331806
11,6604.75,7495.0489135,1993.80803657,5865.24613,5935.83115722,2756.81234424,15601425775
12,6604.25,7615.8894805,2212.34974324,5864.74663,6004.19524622,2789.16135595,16141689308
13,6604.25,7592.4862145,2031.08486428,5864.49713,5976.60937022,2792.31753391,17143246451
14,6605.25,7597.9994662,2044.00270074,5865.49543,6006.50472122,2810.33531774,18047306192
15,6604.25,7800.1597212,2118.90712265,5863.99743,6141.36240562,2863.35736235,22228537605
16,6603.25,7661.5985155,1793.02126053,5862.99843,6221.12249742,2826.28181931,23307823166
17,6602.75,7645.5894138,2079.5166405,5862.49993,6162.49327532,2833.3595713,25964093625
18,6603.75,7895.7240006,2490.52843645,5863.87333,6422.96401692,2725.19536577,29024772058
19,6604.25,7699.1270262,2301.91215287,5863.99743,6284.91997891,2710.92046113,31957724882
20,6604.75,7704.8875556,2297.06381908,5864.49593,6539.32495902,2675.42328753,36013723661
21,6606.75,7659.1587406,2311.38605457,5866.24373,6329.76749022,2661.78735562,37844615290
22,6605.25,8074.8940696,2179.35997236,5864.74593,6431.18355992,2569.96134207,38468556703
23,6605.25,8074.3752296,2180.72506247,5864.74593,6430.87928792,2570.55346994,38479909865
24,6603.25,8057.698206,3123.20537565,5863.49853,6449.10141902,2902.5404484,39668019474
25,6603.75,8057.8784374,3143.06046987,5864.24823,6447.95779462,2907.57809078,39883907298
26,6603.75,8029.0007977,2368.64526047,5863.99803,6421.71518102,2888.80064181,40355591678
27,6603.75,8114.824894,2376.63491145,5864.12493,6480.72414002,2852.68025913,41456727696
28,6604.75,8103.454867,2342.42539628,5864.74783,6475.74895022,2876.82411422,41793432362
29,6603.25,8003.5079906,2808.73405701,5862.49773,6436.82327912,2993.4770222,46720475823
30,6602.25,7684.5630159,2668.7252432,5861.49873,6192.46209922,2948.07445697,47413730411
31,6602.25,7669.8202079,2756.70757976,5861.74793,6347.31300652,2978.2549603,48848052273
32,6605.25,7656.196492,2897.15898562,5864.24553,6337.03187052,3014.47840246,49749708186
33,6605.25,7647.991031,2859.6645755,5864.24553,6337.02534792,3012.70911428,49849267544
34,6601.75,7667.3406487,2850.26295948,5861.24843,6361.63602182,2882.31188651,53767484448
35,6603.75,7574.038891,2576.33682216,5862.99723,6307.44599442,2914.56772474,55328194521
36,6600.75,7517.0167747,2480.08734758,5860.24943,6252.09142752,2858.1362829,57176741157
37,6601.25,7530.4458094,2484.82516592,5860.49873,6265.36909098,2763.14357402,57600357659
38,6600.75,7509.4248854,2464.70110966,5859.99923,6246.05257812,2755.29224258,57672057442
39,6599.75,7598.6963697,2703.08844348,5859.25143,6358.38841372,2839.65782242,58923037886
40,6600.75,7564.5908617,2681.04506472,5860.25043,6314.75199812,2842.08420892,59089598732
41,6602.25,7291.600013,2710.32725042,5861.50073,6077.98030207,2784.250883,62409506234
42,6601.75,7530.407415,2755.42696664,5861.00023,6226.42234372,2660.92342972,63013488121
43,6598.75,7537.021235,2843.90058544,5858.75383,6353.13393252,2756.81818748,64050462313
44,6599.25,7577.7373197,2759.40463734,5859.00313,6351.04788312,2745.46095523,64262699343
45,6598.75,7584.0215387,2860.81639919,5858.50363,6335.75275476,2817.32080536,64621662831
46,6593.75,7482.9727767,3188.68708866,5854.00843,6410.32078472,3017.27084547,66994195134
47,6593.75,7457.8059624,3206.25505155,5854.75833,6349.70912572,3038.25306954,67550099812
48,6594.25,7452.5198287,3202.06424874,5855.25883,6346.04990272,3050.89406119,68267457104
49,6595.75,7579.3228534,3043.70654633,5856.25593,6386.65759712,3016.94597391,70758927539
50,6595.25,7617.3402496,3112.66594052,5856.00663,6406.57698592,3018.28565743,71089187880
51,6594.75,7657.0642676,3150.54481512,5855.50713,6553.43036562,3023.02371593,71297664896
52,6596.25,7568.546485,3152.05763163,5856.75643,6400.33824546,3047.58160432,72464112971
53,6597.75,7630.1972745,2949.68709928,5858.00373,6673.20260382,2963.45095434,74520357034
54,6596.75,7523.2981819,2810.12287752,5857.00643,6471.05522982,2995.36597832,75514359359
55,6597.25,7609.8153152,2903.21522788,5857.75643,6427.83465382,3074.33566223,77430464271
56,6595.25,7580.8295122,3090.79950168,5855.75913,6459.49613542,3081.14783256,78827868456
57,6596.25,7604.2564339,3048.21431364,5856.25673,6468.47174782,3092.49632405,79204236581
58,6595.75,7573.9298172,3024.30349035,5855.75723,6443.49648122,3080.39780326,79492079209
59,6596.25,7555.4839505,2981.96372673,5856.50623,6439.64402942,3092.02561564,79648137269
60,6595.25,7595.6181688,3017.6316767,5855.75743,6460.48021182,3094.99088362,80399781027
61,6595.25,7609.1372685,2954.78042989,5855.75743,6463.96595241,3085.98150774,80560434116
62,6594.75,7573.7707419,3055.82342299,5855.50813,6499.31251742,3092.91549904,81520510984
63,6594.25,7495.1345643,2890.9389507,5854.51063,6434.69350182,3046.5072297,84511618983
64,6592.75,7373.6760076,2665.69589972,5853.25963,6567.07328652,2990.1305597,87511420553
65,6592.25,7330.0426546,2798.25837127,5853.01133,6550.61240902,2993.87007702,87686144871
66,6593.75,7482.0484236,3214.51294834,5854.50983,6556.36737542,2942.45723108,88648624269
67,6593.25,7527.8878587,3051.62530123,5853.25943,6601.78658082,2950.07828663,89927064637
68,6591.75,7350.5803564,2827.01144209,5852.01283,6580.35360087,2988.78513738,91522966954
69,6593.75,7415.688652,3461.44705466,5853.51043,6683.29108792,3090.07052309,92511534806
70,6598.75,7386.9100056,2718.28515414,5859.00373,6471.17348472,2935.10510339,94693287584
71,6599.75,7414.8338566,2665.70947664,5859.75253,6489.32585672,2944.14153425,94840094144
72,6600.5,7548.9560241,2479.13875579,5860.25153,6437.79335772,2795.18969897,96478162967
73,6606.0,7486.940826,2386.22515188,5863.99463,6576.89853732,2784.93094692,102020381128
74,6605.5,6840.3035742,2314.62157859,5864.24433,5127.65961052,2560.62146429,103518031662
75,6603.5,6797.3813933,2670.75469613,5861.74593,5072.56176612,2680.15553761,105212219608
76,6607.0,6800.0285005,2589.36796551,5864.99323,5069.90493152,2675.15484855,105691724058
77,6607.5,7312.2511318,2600.98673013,5865.49273,5251.30971842,2624.57313882,107565231898
78,6608.0,7378.1991167,2600.15135523,5865.99223,5283.72827741,2622.40227821,107615914869
79,6608.5,7046.8590834,2250.18580804,5866.49243,5223.39970802,2605.29307024,109025468219
80,6607.5,7013.1791864,2101.3752298,5865.74363,5156.27066682,2575.41650814,109308200030
81,6605.75,6923.6676451,2637.6161979,5863.74783,5132.32051222,2769.76813405,111160265240
82,6607.25,6931.5407207,2546.90954936,5865.74673,5131.49180142,2770.60348612,111573447022
83,6606.75,6919.8273471,2429.34442064,5865.24723,5126.09550132,2779.71274554,111680610759
84,6607.75,6910.9485674,2434.69552992,5866.49573,5118.03082752,2778.77004938,111736932264
85,6610.75,6944.0556054,2706.96869558,5868.99403,4939.89447982,2801.35009015,113849185065
86,6611.25,6918.7883822,2683.36414829,5869.49353,4923.01846882,2784.21020242,113949633932
87,6610.75,7115.7980856,2608.25715931,5868.49363,5466.59327681,2794.22652175,114765991485
88,6610.75,6959.7743741,2102.71007978,5868.99333,6005.20375542,2638.17141797,116065722504
89,6611.75,7118.8023734,2180.48123678,5870.24183,6114.55467742,2631.51783151,116543296496
90,6614.25,7129.0914349,2458.88405241,5872.74133,6138.01306902,2666.87911208,118411592939
91,6614.25,6921.5684179,2187.88982644,5871.99043,6121.07760902,2621.86372449,119155124672
92,6614.0,7061.1362411,2411.59676938,5871.98923,6194.87588036,2798.05325249,123032719472
93,6613.0,7245.3283521,2529.93632677,5871.24043,6266.77419172,2696.34746985,124346611060
94,6614.0,7109.100924,2319.9191834,5871.99023,6172.30655372,2763.30656769,126019232433
95,6614.5,7210.5725296,2432.59978944,5872.23953,6160.69298472,2886.46815987,127235107725
96,6614.5,7182.0366506,2441.09180887,5872.23953,6149.68233272,2886.54482964,127255081101
97,6612.0,7196.3610292,2532.66568446,5870.24143,6321.51653232,2923.6473449,130855789078
98,6614.0,7090.0722569,2404.33684906,5871.99023,6329.09768292,2933.35759084,131822244075
99,6614.25,6981.5839026,2970.83776658,5872.49023,5128.58801882,2871.60214781,132813780507
100,6614.25,6912.5653063,3356.58147705,5872.49023,5095.66482542,2990.80604498,133359389519
101,6613.75,7562.1829676,2567.25636768,5871.98903,5471.06515862,2889.4754457,134555073586
102,6613.75,6978.2981781,2697.85644929,5872.24023,5143.33606002,2929.82639201,137772109652
103,6615.25,7025.5699161,2696.59932721,5873.73873,5164.27578572,2980.96614848,138967348756
104,6615.25,7392.2165368,2688.65371952,5873.48853,6199.40984412,2966.74013489,140173047933
105,6612.25,7141.949391,2826.83307254,5870.73873,5848.34900142,2926.76973794,143891048007
106,6614.75,6926.824318,2657.73129664,5872.73683,5763.43386522,2948.82012798,144918651586
107,6614.25,6841.562087,2629.93191164,5872.23733,5704.05049622,2944.99949857,145007413350
108,6613.75,6815.970933,2639.29491807,5871.98803,5693.34571982,2953.42982242,145151217502
109,6613.75,6714.8246218,2669.64886712,5871.73783,5516.41875422,2981.05038669,147405253335
110,6613.75,6709.3246218,2669.52972344,5871.73783,5513.66589282,2981.01720182,147408853172
111,6615.25,6745.9884845,2674.82478627,5873.23733,5532.98483722,2793.60900795,147947510502
112,6614.25,7099.6602703,2671.33533838,5871.73863,6043.00959482,2820.8894564,149444976021
