,cpu_requested,mem_requested,time
0,7673.6254866,6000.03016862,600046937
1,7673.6254866,6000.03016862,600818639
2,7673.6254866,6000.03016862,601622724
3,7673.8254826,6000.08254362,637870617
4,7673.9317326,6000.21774362,669327065
5,7674.6629586,6000.48244302,729686410
6,7674.7254586,6000.53017302,750521796
7,7689.6788746,6020.54380802,757956259
8,7705.6100246,6041.79418802,760949346
9,7727.3263346,6070.81009802,760961392
10,7728.8099536,6072.53972342,772013890
11,7734.5404416,6080.27131702,870117001
12,7756.5191576,6109.57997502,872246376
