,time,missing,job_id,task_idx,machine_id,event_type,user,sched_cls,priority,cpu_requested,mem_requested,disk,restriction
13,2501192061634,,5966089485,367,336033796.0,2,zOSdHs9aLt+JlF7qTk4FfvTnAIcEFA5eKgRLZc3zTiY=,0,0,0.03125,0.006836,1.907e-05,0
15,2501192061642,,5402488769,918,336033796.0,2,QESaVQ71IHQKxoQfgYZKQuO67FTkyAqxXtnJC9E3zUs=,1,0,0.0006247,0.003883,2.098e-05,0
17,2501192061650,,6485722952,0,336033796.0,2,uidqWnNIFpUpCOLpntH4GXRE3Z4rfKKNC+ah6+x41Tc=,1,8,0.03125,0.01553,3.815e-06,0
92,2501197898629,,6486087531,63,257502280.0,2,8OkMisyvwLRFV8wxW85Psk0o/my2wpLBMFuoz4pvotY=,0,0,0.006874,0.009323,0.0002575,0
98,2501198972054,,6114773114,1037,4820338068.0,2,huEqgBuTsgIbw1KmYjIUw/N6rUCEeIqRUY51E4M8icU=,0,0,0.0125,0.007767,0.0004044,0
100,2501198972066,,6482555839,546,4820338068.0,2,d8dghoWSUO0SnewXjLXxm9+6Y/lEmae5ABFTNhTtSrU=,0,1,0.006248,0.0007772,9.537e-07,1
193,2501218518866,,4665892165,936,336036862.0,2,8qRmTJas/6XEBaA0l4Wt1+/qSLgc6p7u7JzoMSuT/M8=,3,9,0.125,0.07642,0.0003862,1
204,2501219076860,,6454369144,2790,3890308349.0,2,1wRYrkVgrhQf/fNZQV2VHyG306siaFFyZMEM1r1cW2E=,1,0,0.0625,0.03961,3.815e-05,0
292,2501232505571,,6463557874,15,4820338068.0,2,mbrS6V2tRbksMPO0y8EI9B9XT2ASaPRTNndslCGN/2A=,1,9,0.1875,0.04773,0.0001154,0
294,2501232505583,,6261947650,53,4820338068.0,2,dTBkGCvrIzbJpD3rFqjUp7wz1+pLdgL7xCt64xcZN0o=,1,9,0.0006247,0.001591,7.629e-06,0
519,2501259839237,,4665897416,263,4820338068.0,2,8qRmTJas/6XEBaA0l4Wt1+/qSLgc6p7u7JzoMSuT/M8=,3,9,0.1282,0.07642,0.0003862,1
1378,2501307589127,,6450111033,238,224761943.0,2,CCbg3K/uVFiG0k1eTEPIq8/Hgygvsn7T9Mk6/6PbmJ0=,0,0,0.0125,0.006104,0.0001926,0
2414,2501432628944,,6454369144,1556,317488657.0,2,1wRYrkVgrhQf/fNZQV2VHyG306siaFFyZMEM1r1cW2E=,1,0,0.0625,0.03961,3.815e-05,0
3111,2501477555241,,6486161686,1324,336033796.0,2,HxdST/yDI1TlIkr0Povf9KaXGGG8x4iVXX6o/iSIghM=,0,6,0.03687,0.0199,0.0007715,0
3526,2501508118597,,4969889774,85,5781239.0,2,dTBkGCvrIzbJpD3rFqjUp7wz1+pLdgL7xCt64xcZN0o=,3,9,0.0625,0.02545,5.817e-05,1
3530,2501508118631,,6171022137,24,5781239.0,2,q6EjQj6yxdwUvvufuDKvfotZ1LoylbpNu4NguS48Lfo=,2,9,0.03125,0.02386,5.817e-05,0
4025,2501552439362,,5921809619,369,317497345.0,2,tQTMcVT7Ui4l0O04X+5OXi70iDpczbsGwMsl/8jrRCg=,0,0,0.006248,0.007767,0.0003862,0
4750,2501638590031,,6486211885,2,4820338068.0,2,r/Al6kYJOwZITr6wi4pAlEwyGv5TM2EkJ8woA5hszeA=,0,4,0.06873,0.008606,3.815e-05,0
7076,2501668199210,,6482555839,814,431075307.0,2,d8dghoWSUO0SnewXjLXxm9+6Y/lEmae5ABFTNhTtSrU=,0,1,0.006248,0.0007772,9.537e-07,1
7504,2501711360078,,6258398523,96,644879424.0,2,mbrS6V2tRbksMPO0y8EI9B9XT2ASaPRTNndslCGN/2A=,1,9,0.01874,0.003109,3.815e-05,0
7506,2501711360087,,5351718126,48,644879424.0,2,ZpQmujQYX55FcN2RFvqqUkcz5z/Tovj2FaG8sFtlG48=,0,1,0.03125,0.0159,3.815e-05,0
7508,2501711360095,,6454369144,1882,644879424.0,2,1wRYrkVgrhQf/fNZQV2VHyG306siaFFyZMEM1r1cW2E=,1,0,0.0625,0.03961,3.815e-05,0
7510,2501711360104,,6258397565,8,644879424.0,2,mbrS6V2tRbksMPO0y8EI9B9XT2ASaPRTNndslCGN/2A=,1,9,0.01874,0.003109,3.815e-05,0
7512,2501711360112,,6258397610,10,644879424.0,2,mbrS6V2tRbksMPO0y8EI9B9XT2ASaPRTNndslCGN/2A=,1,9,0.01874,0.003109,3.815e-05,0
7514,2501711360120,,5402488769,260,644879424.0,2,QESaVQ71IHQKxoQfgYZKQuO67FTkyAqxXtnJC9E3zUs=,1,0,0.0006247,0.003883,2.098e-05,0
7739,2501733471683,,6435031331,71,644879424.0,2,6sA6zlLBUbfo10ztq5cTvcQARplUe3HpEuyJ3UXkeCI=,1,0,0.0,0.003124,1.907e-05,0
7741,2501733471691,,6434664203,28,644879424.0,2,5ANFyIGysAA6XzeFuFUqyXdJfrrczugfoYfXCP0FNk8=,3,8,0.0625,0.1272,2.67e-05,1
7743,2501733471699,,4861489847,198,644879424.0,2,rNyxTd1B3RnDJBIofzoVksjnmaJEN+hW5W+yRHo2xsM=,2,1,0.0006247,0.03339,1.907e-05,0
8175,2501792186426,,5402488769,2109,3384423818.0,2,QESaVQ71IHQKxoQfgYZKQuO67FTkyAqxXtnJC9E3zUs=,1,0,0.0006247,0.003883,2.098e-05,0
10247,2501907811300,,5402488769,165,3352280010.0,2,QESaVQ71IHQKxoQfgYZKQuO67FTkyAqxXtnJC9E3zUs=,1,0,0.0006247,0.003883,2.098e-05,0
10688,2501927365582,,6369933981,29,16917446.0,2,tjYrEWcPX1rXEj2HGswd+7QRIk6v7tPC/FkdklnBScI=,2,9,0.375,0.175,1.907e-05,0
11189,2501988810945,,6238835298,72,644879424.0,2,CwGnjPqF6z6mEbr5zJVXafRsbETt6gvdwvOX2l+GpsI=,1,9,0.03125,0.02795,0.0001926,0
11191,2501988810953,,6238841354,111,644879424.0,2,CwGnjPqF6z6mEbr5zJVXafRsbETt6gvdwvOX2l+GpsI=,1,9,0.03125,0.02795,0.0001926,0
11193,2501988810961,,6238836357,134,644879424.0,2,CwGnjPqF6z6mEbr5zJVXafRsbETt6gvdwvOX2l+GpsI=,1,9,0.03125,0.02795,0.0001926,0
11491,2502035477464,,5402488769,2531,4246071647.0,2,QESaVQ71IHQKxoQfgYZKQuO67FTkyAqxXtnJC9E3zUs=,1,0,0.0006247,0.003883,2.098e-05,0
11726,2502077085583,,6486161686,4843,4820338068.0,2,HxdST/yDI1TlIkr0Povf9KaXGGG8x4iVXX6o/iSIghM=,0,6,0.03687,0.0199,0.0007715,0
11728,2502077085594,,6486161686,1608,4820338068.0,2,HxdST/yDI1TlIkr0Povf9KaXGGG8x4iVXX6o/iSIghM=,0,6,0.03687,0.0199,0.0007715,0
11861,2502090847070,,6486161686,1854,336036862.0,2,HxdST/yDI1TlIkr0Povf9KaXGGG8x4iVXX6o/iSIghM=,0,6,0.03687,0.0199,0.0007715,0
14144,2502150269499,,5921809619,464,351613826.0,2,tQTMcVT7Ui4l0O04X+5OXi70iDpczbsGwMsl/8jrRCg=,0,0,0.006248,0.007767,0.0003862,0
14890,2502274545614,,6486264867,23,351607171.0,2,ALKg5AFdgMwZt3L7ZOLUlG9p6A/mR6Q6XzoU6n0sQmw=,0,0,0.009369,0.002689,0.0009651,0
15042,2502308351259,,6482555839,490,317488632.0,2,d8dghoWSUO0SnewXjLXxm9+6Y/lEmae5ABFTNhTtSrU=,0,1,0.006248,0.0007772,9.537e-07,1
15121,2502328939470,,6482555839,547,317488530.0,2,d8dghoWSUO0SnewXjLXxm9+6Y/lEmae5ABFTNhTtSrU=,0,1,0.006248,0.0007772,9.537e-07,1
15434,2502388996340,,5402488769,3089,3738987584.0,2,QESaVQ71IHQKxoQfgYZKQuO67FTkyAqxXtnJC9E3zUs=,1,0,0.0006247,0.003883,2.098e-05,0
16055,2502521250200,,6238836357,34,6595383.0,2,CwGnjPqF6z6mEbr5zJVXafRsbETt6gvdwvOX2l+GpsI=,1,9,0.03125,0.02795,0.0001926,0
16230,2502554450706,,6480684884,18,295005077.0,2,9bg757+k8xeWFApxOzOS5nnVAHYpBBQ+Pf1mEnsTZsQ=,2,2,0.05627,0.0107,1.049e-05,0
16563,2502628382091,,6482555839,802,2381577379.0,2,d8dghoWSUO0SnewXjLXxm9+6Y/lEmae5ABFTNhTtSrU=,0,1,0.006248,0.0007772,9.537e-07,1
21988,2502750263542,,5402488769,2981,3098096894.0,2,QESaVQ71IHQKxoQfgYZKQuO67FTkyAqxXtnJC9E3zUs=,1,0,0.0006247,0.003883,2.098e-05,0
22076,2502761230605,,6369299385,47,359917080.0,2,9bg757+k8xeWFApxOzOS5nnVAHYpBBQ+Pf1mEnsTZsQ=,2,2,0.03064,0.01317,0.0001554,0
29533,2502992056512,,6454369144,42,431045485.0,2,1wRYrkVgrhQf/fNZQV2VHyG306siaFFyZMEM1r1cW2E=,1,0,0.0625,0.03961,3.815e-05,0
32064,2503120673388,,6486283158,1090,5824151896.0,2,Li07yfZYUN8D8rtC4r4YoZZuN+KOzPoA7fTmVMhK6+c=,0,0,0.009369,0.01193,0.0001698,0
32866,2503228684413,,6482555839,143,351612258.0,2,d8dghoWSUO0SnewXjLXxm9+6Y/lEmae5ABFTNhTtSrU=,0,1,0.006248,0.0007772,9.537e-07,1
33472,2503322826191,,6482232375,33,1301977.0,2,nHinWYr2Nep8Mr79MMvmYCrGb0NdshyX6mlnZo/Ot+I=,1,4,0.03104,0.0159,7.725e-05,0
33474,2503322826201,,6486161686,1992,1301977.0,2,HxdST/yDI1TlIkr0Povf9KaXGGG8x4iVXX6o/iSIghM=,0,6,0.03687,0.0199,0.0007715,0
34386,2503350361983,,6482555839,538,7781238.0,2,d8dghoWSUO0SnewXjLXxm9+6Y/lEmae5ABFTNhTtSrU=,0,1,0.006248,0.0007772,9.537e-07,1
35938,2503426147109,,6444609840,20,4469393757.0,2,mbrS6V2tRbksMPO0y8EI9B9XT2ASaPRTNndslCGN/2A=,1,9,0.06873,0.07556,0.0001431,0
35940,2503426147123,,4857081234,350,4469393757.0,2,RadM8g4+5sOfOLNjDbDRirrfEOAeY4TieW+qKkrGDQQ=,2,2,0.0625,0.04773,0.0001736,0
35942,2503426147132,,4857082814,94,4469393757.0,2,RadM8g4+5sOfOLNjDbDRirrfEOAeY4TieW+qKkrGDQQ=,2,2,0.0625,0.04773,0.0001736,0
35944,2503426147141,,6444610691,76,4469393757.0,2,mbrS6V2tRbksMPO0y8EI9B9XT2ASaPRTNndslCGN/2A=,1,9,0.06873,0.07556,0.0001431,0
35946,2503426147154,,4857080139,396,4469393757.0,2,RadM8g4+5sOfOLNjDbDRirrfEOAeY4TieW+qKkrGDQQ=,2,2,0.0625,0.04773,0.0001736,0
35948,2503426147163,,6486161686,4947,4469393757.0,2,HxdST/yDI1TlIkr0Povf9KaXGGG8x4iVXX6o/iSIghM=,0,6,0.03687,0.0199,0.0007715,0
35950,2503426147174,,6486307568,160,4469393757.0,2,oPxcKd7feXmw+sZKrkp8/MvvNP/5kRG+Yy2fc/lz3Ks=,0,4,0.125,0.04773,1.907e-05,0
35952,2503426147186,,6486323509,382,4469393757.0,2,9bg757+k8xeWFApxOzOS5nnVAHYpBBQ+Pf1mEnsTZsQ=,0,0,0.009369,0.0159,0.0003862,0
36160,2503450953271,,6114773114,652,294986436.0,2,huEqgBuTsgIbw1KmYjIUw/N6rUCEeIqRUY51E4M8icU=,0,0,0.0125,0.007767,0.0004044,0
36255,2503461917834,,5402488769,422,294986436.0,2,QESaVQ71IHQKxoQfgYZKQuO67FTkyAqxXtnJC9E3zUs=,1,0,0.0006247,0.003883,2.098e-05,0
36333,2503472251428,,6486161686,3651,294986436.0,2,HxdST/yDI1TlIkr0Povf9KaXGGG8x4iVXX6o/iSIghM=,0,6,0.03687,0.0199,0.0007715,0
36348,2503473941123,,1639398186,2,54.0,2,8O4kXXWcmekgYPtAITibDyX2OhyGVlAsp1dvObRSlxo=,3,9,0.006248,0.006218,1.526e-05,0
36350,2503473941131,,1389045297,9,54.0,2,q6EjQj6yxdwUvvufuDKvfotZ1LoylbpNu4NguS48Lfo=,2,9,0.0075,0.003883,3.433e-05,0
36352,2503473941139,,6261947650,596,54.0,2,dTBkGCvrIzbJpD3rFqjUp7wz1+pLdgL7xCt64xcZN0o=,1,9,0.0006247,0.001591,7.629e-06,0
36421,2503485950678,,6403995787,204,54.0,2,VKmwSJS9DAS+J/beYyBoF1sTcJi7Z8Qm0VYlh18em8w=,3,9,0.009369,0.006218,0.001358,1
37896,2503600629711,,6486283158,1916,288943705.0,2,Li07yfZYUN8D8rtC4r4YoZZuN+KOzPoA7fTmVMhK6+c=,0,0,0.009369,0.01193,0.0001698,0
42630,2503722811352,,6486323509,1691,3384423818.0,2,9bg757+k8xeWFApxOzOS5nnVAHYpBBQ+Pf1mEnsTZsQ=,0,0,0.009369,0.0159,0.0003862,0
42776,2503753752955,,5464330466,112,54.0,2,8qRmTJas/6XEBaA0l4Wt1+/qSLgc6p7u7JzoMSuT/M8=,3,9,0.1506,0.07642,0.0003862,1
47344,2503821520916,,6479198550,992,257410891.0,2,IhuZG6r50xbemDPnZMJTjUEeIo0+NQAyiWKFQxu/jdY=,0,1,0.0125,0.1592,0.0009651,0
47422,2503840483135,,6486161686,3342,7781238.0,2,HxdST/yDI1TlIkr0Povf9KaXGGG8x4iVXX6o/iSIghM=,0,6,0.03687,0.0199,0.0007715,0
47795,2503898718064,,6399239264,129,6639239.0,2,lSyhuDfwWwc5CxOPClHLAFc5fRFVIyPYjc8qE8Hb0ZU=,1,1,0.0,0.003426,1.907e-05,0
47797,2503898718072,,4072975493,1,6639239.0,2,o/xqqh/rkr3/uJZehz6wKMGM3LZvOkzGPGELX2L440M=,0,1,0.006248,0.003883,1.907e-05,0
47799,2503898718080,,6464365687,110,6639239.0,2,lSyhuDfwWwc5CxOPClHLAFc5fRFVIyPYjc8qE8Hb0ZU=,1,1,0.0,0.003391,1.907e-05,0
47856,2503910329446,,5402488769,1369,6639239.0,2,QESaVQ71IHQKxoQfgYZKQuO67FTkyAqxXtnJC9E3zUs=,1,0,0.0006247,0.003883,2.098e-05,0
48085,2503954064378,,5402488769,1897,257338306.0,2,QESaVQ71IHQKxoQfgYZKQuO67FTkyAqxXtnJC9E3zUs=,1,0,0.0006247,0.003883,2.098e-05,0
48550,2504037836536,,5402488769,3687,3938706287.0,2,QESaVQ71IHQKxoQfgYZKQuO67FTkyAqxXtnJC9E3zUs=,1,0,0.0006247,0.003883,2.098e-05,0
