,cpu_requested,mem_requested,time
0,7673.6254866,6000.03016862,0
1,7616.448167,6141.69953212,3584438388
2,7626.0501483,6082.88555772,5027998969
3,7596.5568903,5910.32242172,5633726908
4,7610.4567547,5927.24105632,7408200757
5,7599.570412,5881.03374372,9097223620
6,7580.8107184,5915.39494572,11143576119
7,7578.5727237,5914.43146732,11164241062
8,7573.4929657,5911.74089752,11205846767
9,7564.0091241,5965.01036422,12763597519
10,7636.9810191,5951.69945722,13217901027
11,7545.7057221,5927.15738062,13641115405
12,7594.5147679,6021.69640162,14549054615
13,7546.0382378,5963.23057522,15451338510
14,7630.6871605,6012.21606222,17180117461
15,7635.9096645,6045.83049622,17326526600
16,7819.8783632,6121.30906102,19787885345
17,7870.9370529,6111.69532912,21306775529
18,7636.1684125,6210.90788602,24387113920
19,7593.8480998,6161.14391642,25661263058
20,7826.7823295,6278.57308072,27874168260
21,7888.9298189,6420.30391132,29170496679
22,7754.3138739,6287.15645052,32374153524
23,8108.2809889,6520.85865502,33296572763
24,7736.2773739,6280.24094142,35013049475
25,7736.2773739,6280.24094142,35013865875
26,7652.0975549,6388.71776082,36909827560
27,8072.4732656,6426.16237342,38907387993
28,8057.9017374,6448.44836222,39834314493
29,8018.2883017,6411.59812022,40528730941
30,8022.594345,6411.43278022,40845882577
31,8105.427372,6476.09143602,41663409502
32,8019.3365027,6447.39368022,42225279996
33,8017.3308447,6446.70776162,42241576566
34,8063.4675028,6448.90019442,42959450501
35,8067.2814738,6453.83828942,43043768936
36,8048.4613842,6432.50910532,43762675975
37,8050.5584248,6433.73520892,44330539041
38,8081.3187665,6424.80810592,44786283906
39,8057.0616606,6381.33857092,46560161480
40,7635.7425849,6464.72277862,47669549095
41,7980.5322529,6492.74471492,48496607242
42,7651.601502,6330.77612092,49717822159
43,7843.288549,6668.12719012,51963897417
44,7546.985129,6272.56377472,56940097526
45,7468.3847715,6278.48590172,60242802169
46,7464.8847715,6276.35940112,60259134162
47,7459.7352615,6273.97993812,60287017290
48,7453.5978502,6271.57509512,60309419217
49,7399.0272425,6212.42572112,61015113662
50,7365.7538897,6209.24885012,62071740199
51,7283.639919,6085.86729372,62749581045
52,7539.5183577,6379.31993952,63898573065
53,7533.330511,6353.80824972,63981542088
54,7534.117507,6355.14384972,63982378178
55,7517.108238,6340.35767272,64194375993
56,7574.6438907,6348.74385852,64290331102
57,7564.8881447,6336.92361172,64453162637
58,7518.210757,6380.92185612,66073528440
59,7508.7390077,6402.51595312,66281909389
60,7497.7367177,6399.04938772,66332661089
61,7511.0543087,6391.67013172,67329325364
62,7459.5310784,6351.16913252,67511635387
63,7471.6256587,6395.95685812,67650411272
64,7373.7293947,6306.54422152,68860712373
65,7373.0675247,6306.20888052,68864416222
66,7564.08968,6391.60531706,72667053878
67,7603.377154,6459.66308586,72816793340
68,7546.5372555,6415.29692383,73307879517
69,7668.4564405,6470.15899372,73780945448
70,7632.2345345,6674.39679482,74480098230
71,7546.9423756,6463.60795262,76162474627
72,7544.7287436,6460.44940822,76175196562
73,7530.8228602,6439.62579682,76479094849
74,7576.2328582,6440.19721522,77094345314
75,7681.9227762,6462.58525622,77388407377
76,7629.0810862,6481.79101522,78284189990
77,7629.0560842,6481.80499122,78287784543
78,7616.1824555,6470.97778682,78478049014
79,7574.5172775,6456.85894442,78603008355
80,7580.0201452,6459.25679342,78828185766
81,7629.0337602,6481.28664282,79126530792
82,7556.7807685,6440.86387522,80147271065
83,7561.0373572,6491.41123382,81842529985
84,7540.1716473,6461.01612082,82096131960
85,7687.4009527,6490.95765742,83062025033
86,7496.3262253,6435.04355542,84424847014
87,7280.2056665,6419.85765842,85381674344
88,7414.9547226,6630.13559471,85959665480
89,7586.963293,6700.56372092,86540130640
90,7419.456911,6601.75442912,86687255351
91,7379.8188136,6606.40035232,87279640032
92,7377.9061586,6568.69013752,87498789152
93,7445.6723366,6591.63426402,87904920531
94,7442.0728656,6587.71927002,87927328423
95,7341.4867516,6413.85988802,88443548152
96,7339.1752496,6412.22002242,88451419641
97,7432.5054986,6527.80839542,89066068805
98,7455.7517783,6491.63168942,89499352826
99,7454.4295083,6490.98247742,89520314825
100,7456.9736191,6684.65414192,92035485443
101,7438.1326705,6717.81481992,92351607527
102,7496.757745,6742.69856132,92462086461
103,7413.558033,6679.96059232,92524577778
104,7474.956776,6709.27729332,92541020567
105,7446.881662,6679.44119492,92951451602
106,7476.9606597,6664.66750131,93212320361
107,7512.4296434,6658.65729732,93261142112
108,7420.8693454,6590.06350032,93523650422
109,7441.1097458,6585.62338152,93973612591
110,7419.3223621,6607.50019092,94059969421
111,7402.0522954,6551.43572692,94260206021
112,7446.6891213,6522.05631612,94517839073
113,7502.7707316,6538.72929772,94576727735
114,7440.3159646,6504.86685812,94623772209
115,7504.4322606,6534.99004467,95164566809
116,7701.08631,6582.56242552,95736828999
117,7674.854238,6524.18066432,96154027966
118,7721.8818144,6548.98041252,96244651250
119,7481.5806651,6399.82904292,96691160205
120,7721.0070321,6509.85522652,97165044810
121,7555.3202277,6707.98167512,100777889796
122,7520.383719,6643.71998792,101480570288
123,7579.5262457,6639.86313012,102114544260
124,6744.5551098,5073.65504012,104000838816
125,6853.5099313,5111.11415652,105119645727
126,6853.2350133,5110.86713912,105128151078
127,6841.4124772,5085.63540552,105439360902
128,6786.2740185,5063.83278152,105829865903
129,6954.9146345,5128.12439452,106107322187
130,7358.8813515,5293.98958942,107299678888
131,7351.6835554,5280.50046402,107640094027
132,7337.1137424,5276.06013002,107678200560
133,6915.9240194,5089.20899902,110063548558
