,cpu_requested,cpu_usage,mem_requested,mem_usage,time
0,7673.6254866,0.0,6000.03016862,0.0,0
1,7616.448167,2507.87313775,6141.69953212,2809.15039644,3584438388
2,7626.0501483,2283.69501033,6082.88555772,2758.77307096,5027998969
3,7596.5568903,1971.76466513,5910.32242172,2645.1085588,5633726908
4,7610.4567547,2158.22131001,5927.24105632,2692.59115307,7408200757
5,7599.570412,2099.91738887,5881.03374372,2659.58401144,9097223620
6,7580.8107184,2156.42839236,5915.39494572,2759.71923364,11143576119
7,7578.5727237,2154.03162984,5914.43146732,2759.30499125,11164241062
8,7573.4929657,2149.11113457,5911.74089752,2758.23849779,11205846767
9,7564.0091241,2205.36147396,5965.01036422,2761.4244998,12763597519
10,7636.9810191,2115.50127215,5951.69945722,2729.26561569,13217901027
11,7545.7057221,2088.64269281,5927.15738062,2728.40091552,13641115405
12,7594.5147679,2127.36144935,6021.69640162,2774.12236861,14549054615
13,7546.0382378,2102.58368618,5963.23057522,2765.48902124,15451338510
14,7630.6871605,2028.06938468,6012.21606222,2791.13902392,17180117461
15,7635.9096645,2030.39880676,6045.83049622,2799.92952368,17326526600
16,7819.8783632,2057.1330459,6121.30906102,2884.78116604,19787885345
17,7870.9370529,1951.76003337,6111.69532912,2878.27973527,21306775529
18,7636.1684125,1945.4681188,6210.90788602,2852.73620986,24387113920
19,7593.8480998,2042.99270999,6161.14391642,2835.77699221,25661263058
20,7826.7823295,2213.83958353,6278.57308072,2877.82828648,27874168260
21,7888.9298189,2407.64883784,6420.30391132,2712.00627841,29170496679
22,7754.3138739,2282.41391361,6287.15645052,2671.32807746,32374153524
23,8108.2809889,2651.24627351,6520.85865502,2748.69067645,33296572763
24,7736.2773739,2341.09212992,6280.24094142,2692.32371019,35013049475
25,7736.2773739,2341.09212992,6280.24094142,2692.32371019,35013865875
26,7652.0975549,2362.845674,6388.71776082,2680.66131364,36909827560
27,8072.4732656,3026.1954006,6426.16237342,2849.25402997,38907387993
28,8057.9017374,3146.98473677,6448.44836222,2907.90770799,39834314493
29,8018.2883017,2251.95176971,6411.59812022,2856.95460351,40528730941
30,8022.594345,2229.04350089,6411.43278022,2835.50840219,40845882577
31,8105.427372,2433.00504976,6476.09143602,2862.14634485,41663409502
32,8019.3365027,2367.25202704,6447.39368022,2895.81755053,42225279996
